policy,display_name,M_ratio,csr,total_cost,avg_mem_util,runtime_seconds,result_path
adaptive_ttl_only,Adaptive-TTL-only,0.1,0.00762624609349863,3440360.0,15.677694606494736,3.7,D:\code\paper_b_sim\results\baseline\adaptive_ttl_only_0.1.json
lfu,LFU,0.1,0.12750023082282042,57449000.0,0.9259747890939662,1.1,D:\code\paper_b_sim\results\baseline\lfu_0.1.json
gdsf,GDSF,0.1,0.129395775802494,57691770.0,0.9156386401898879,1.3,D:\code\paper_b_sim\results\baseline\gdsf_0.1.json
dtlm_v3,DTLM v3,0.1,0.129395775802494,57691770.0,0.9156386401898879,1.6,D:\code\paper_b_sim\results\dtlm_v3\final\dtlm_v3_0.1.json
ttlmin_extnd,TTLmin_extnd,0.1,0.12903415338386254,58484110.0,0.9267462619232202,4.3,D:\code\paper_b_sim\results\baseline\ttlmin_extnd_0.1.json
lru,LRU,0.1,0.15046710145292475,67476380.0,0.9122732559680847,1.0,D:\code\paper_b_sim\results\baseline\lru_0.1.json
fixed_ttl_lru,Fixed-TTL+LRU,0.1,0.15046710145292475,67476380.0,0.9122732559680847,1.1,D:\code\paper_b_sim\results\baseline\fixed_ttl_lru_0.1.json
adaptive_ttl_lru,Adaptive-TTL+LRU,0.1,0.15046710145292475,67476720.0,0.9117878900221098,3.5,D:\code\paper_b_sim\results\baseline\adaptive_ttl_lru_0.1.json
adaptive_ttl_only,Adaptive-TTL-only,0.2,0.00762624609349863,3440360.0,7.838847303247368,3.4,D:\code\paper_b_sim\results\baseline\adaptive_ttl_only_0.2.json
ttlmin_extnd,TTLmin_extnd,0.2,0.07319671420217841,32172390.0,0.9573161743425891,5.2,D:\code\paper_b_sim\results\baseline\ttlmin_extnd_0.2.json
dtlm_v3,DTLM v3,0.2,0.10878819418214579,49082700.0,0.953005907324617,1.9,D:\code\paper_b_sim\results\dtlm_v3\final\dtlm_v3_0.2.json
lfu,LFU,0.2,0.11268350414222043,51050960.0,0.9551179883126618,1.3,D:\code\paper_b_sim\results\baseline\lfu_0.2.json
gdsf,GDSF,0.2,0.11300385823841619,51196200.0,0.9566820674564841,1.3,D:\code\paper_b_sim\results\baseline\gdsf_0.2.json
adaptive_ttl_lru,Adaptive-TTL+LRU,0.2,0.13718499679645904,61329740.0,0.9632349292900511,4.1,D:\code\paper_b_sim\results\baseline\adaptive_ttl_lru_0.2.json
lru,LRU,0.2,0.13984435547273913,62533190.0,0.9637630519919659,1.1,D:\code\paper_b_sim\results\baseline\lru_0.2.json
fixed_ttl_lru,Fixed-TTL+LRU,0.2,0.13984435547273913,62533190.0,0.9637630519919659,1.2,D:\code\paper_b_sim\results\baseline\fixed_ttl_lru_0.2.json
adaptive_ttl_only,Adaptive-TTL-only,0.3,0.00762624609349863,3440360.0,5.225898202164912,3.5,D:\code\paper_b_sim\results\baseline\adaptive_ttl_only_0.3.json
dtlm_v3,DTLM v3,0.3,0.031267399144416744,12590140.0,0.9607723974415348,1.5,D:\code\paper_b_sim\results\dtlm_v3\final\dtlm_v3_0.3.json
ttlmin_extnd,TTLmin_extnd,0.3,0.033257371641527964,14314130.0,0.9498697816641201,4.2,D:\code\paper_b_sim\results\baseline\ttlmin_extnd_0.3.json
gdsf,GDSF,0.3,0.040215630482041985,16284490.0,0.9735557641032508,1.1,D:\code\paper_b_sim\results\baseline\gdsf_0.3.json
lfu,LFU,0.3,0.041642535189988165,18573320.0,0.9731718250311733,1.1,D:\code\paper_b_sim\results\baseline\lfu_0.3.json
adaptive_ttl_lru,Adaptive-TTL+LRU,0.3,0.07024288156411139,30931750.0,0.9555294837805217,3.5,D:\code\paper_b_sim\results\baseline\adaptive_ttl_lru_0.3.json
lru,LRU,0.3,0.07033381176608836,31002450.0,0.9585088217804758,0.9,D:\code\paper_b_sim\results\baseline\lru_0.3.json
fixed_ttl_lru,Fixed-TTL+LRU,0.3,0.07033381176608836,31002450.0,0.9585088217804758,1.0,D:\code\paper_b_sim\results\baseline\fixed_ttl_lru_0.3.json
adaptive_ttl_only,Adaptive-TTL-only,0.5,0.00762624609349863,3440360.0,3.1355389212989473,3.3,D:\code\paper_b_sim\results\baseline\adaptive_ttl_only_0.5.json
dtlm_v3,DTLM v3,0.5,0.008681036436431396,4167280.0,0.9216747682430546,1.5,D:\code\paper_b_sim\results\dtlm_v3\final\dtlm_v3_0.5.json
