func_id,request_count,cold_starts,expiry_induced_cold_starts,eviction_induced_cold_starts,other_cold_starts,dtlm_total_cost,gdsf_total_cost,delta_cost_vs_gdsf,final_tau_ms,final_class
47c8d0e34018afd1445d2bc2adb0beea16700b11900d1dbddf4bb3010a45b356,587,576,548,28,0,368640.0,0.0,368640.0,360000,warm
70621afe38aba168da6342dada220bb52a66ebaee4a325fe7ed8605a19e657e6,997,943,922,21,0,264040.0,0.0,264040.0,360000,warm
52e14340ad959777cb5575f76ac7beb7c8de5185ad130b196bcc5796e0930def,768,763,742,21,0,122080.0,0.0,122080.0,360000,warm
63b690819a20ad965bf0dffcce1305487b38f83bdc5fb5303b79de4db8fd51e3,595,575,550,25,0,368000.0,280960.0,87040.0,360000,warm
cdcb9a8d70db78f7c91efbc66f7f524a8042fa128553bc512833f39af7045bfb,2223,200,197,3,0,56000.0,0.0,56000.0,120000,cold
1db9d65269eacbd9e25a614e9e8cfa416dd1dfdde4e46c62262d6a1f8b42a2c7,1731,140,138,2,0,49000.0,0.0,49000.0,360000,warm
e8d65d54cda9880759dd9d99c205f356a76c1a08ab80a3c385651a13bc6d0454,2590,110,107,3,0,30800.0,0.0,30800.0,120000,cold
f20b5a7d1ee00c799d045b33590459baaceaa610d30a9b4dfc75f2e0d24b4831,1519,87,86,1,0,30450.0,0.0,30450.0,120000,cold
96a1e9d27244c32c0802945d320a17d5d9cd30b7be59627cd43904d185d62351,7539,81,81,0,0,28350.0,0.0,28350.0,120000,cold
01c490677dc1bc669fe6cb2dcf0461aa729df90fee3964d8e7f512fab3ee9c73,618,69,67,2,0,24150.0,0.0,24150.0,120000,cold
