policy,M_ratio,cold_start_scale,CSR,total_cost,avg_mem_util,runtime_s
adaptive_ttl_lru,0.1,1.0,0.15046710145292475,67476720.0,0.9117878900221098,3.5
adaptive_ttl_lru,0.2,1.0,0.13718499679645904,61329740.0,0.9632349292900511,4.1
adaptive_ttl_lru,0.3,1.0,0.07024288156411139,30931750.0,0.9555294837805217,3.5
adaptive_ttl_lru,0.5,1.0,0.02370550365539412,10424980.0,0.9447147225596545,3.4
adaptive_ttl_lru,0.7,1.0,0.010743753095124183,5070940.0,0.9354998861333688,3.3
adaptive_ttl_lru,1.0,1.0,0.008438322743462118,3844180.0,0.9470911267470138,3.3
adaptive_ttl_only,0.1,1.0,0.00762624609349863,3440360.0,15.677694606494736,3.7
adaptive_ttl_only,0.2,1.0,0.00762624609349863,3440360.0,7.838847303247368,3.4
adaptive_ttl_only,0.3,1.0,0.00762624609349863,3440360.0,5.225898202164912,3.5
adaptive_ttl_only,0.5,1.0,0.00762624609349863,3440360.0,3.1355389212989473,3.3
adaptive_ttl_only,0.7,1.0,0.00762624609349863,3440360.0,2.2396706580706764,3.3
adaptive_ttl_only,1.0,1.0,0.00762624609349863,3440360.0,1.5677694606494736,3.3
dtlm,0.1,1.0,0.26771670066057296,119780640.0,0.9091010976466946,10.7
dtlm,0.2,1.0,0.17974452810023026,79123490.0,0.9518724677511379,13.6
dtlm,0.3,1.0,0.05118391122974005,20556490.0,0.9599562014416463,6.8
dtlm,0.5,1.0,0.017311012067137265,7111300.0,0.9316889699508067,4.8
dtlm,0.7,1.0,0.007200273070391168,3244260.0,0.9368449919996867,4.1
dtlm,1.0,1.0,0.005332706614402784,2179510.0,0.9421162562818803,4.0
fixed_ttl_lru,0.1,1.0,0.15046710145292475,67476380.0,0.9122732559680847,1.1
fixed_ttl_lru,0.2,1.0,0.13984435547273913,62533190.0,0.9637630519919659,1.2
fixed_ttl_lru,0.3,1.0,0.07033381176608836,31002450.0,0.9585088217804758,1.0
fixed_ttl_lru,0.5,1.0,0.019696880674394335,8541800.0,0.9487365075748766,0.8
fixed_ttl_lru,0.7,1.0,0.005730701113825028,2816930.0,0.8568936642439927,0.8
fixed_ttl_lru,1.0,1.0,0.004665418824510306,2359540.0,0.6268556508732256,0.7
gdsf,0.1,1.0,0.129395775802494,57691770.0,0.9156386401898879,1.3
gdsf,0.2,1.0,0.11300385823841619,51196200.0,0.9566820674564841,1.3
gdsf,0.3,1.0,0.040215630482041985,16284490.0,0.9735557641032508,1.1
gdsf,0.5,1.0,0.0172865308589127,7666250.0,0.9749960229533936,1.0
gdsf,0.7,1.0,0.005376772789207005,2907560.0,0.9620563276561168,1.0
gdsf,1.0,1.0,0.00232851263370237,1249850.0,0.9689003434749774,1.0
lfu,0.1,1.0,0.12750023082282042,57449000.0,0.9259747890939662,1.1
lfu,0.2,1.0,0.11268350414222043,51050960.0,0.9551179883126618,1.3
lfu,0.3,1.0,0.041642535189988165,18573320.0,0.9731718250311733,1.1
lfu,0.5,1.0,0.02029981785981081,9024280.0,0.973257034481671,1.0
lfu,0.7,1.0,0.007629043945867152,3981670.0,0.9612123697520045,1.0
lfu,1.0,1.0,0.004817901778594751,2337010.0,0.970217788946236,0.9
lru,0.1,1.0,0.15046710145292475,67476380.0,0.9122732559680847,1.0
lru,0.2,1.0,0.13984435547273913,62533190.0,0.9637630519919659,1.1
lru,0.3,1.0,0.07033381176608836,31002450.0,0.9585088217804758,0.9
lru,0.5,1.0,0.01951362134425615,8468710.0,0.9496723517260659,0.8
lru,0.7,1.0,0.004769638825237748,2359160.0,0.9468379987973109,0.7
lru,1.0,1.0,0.0018857524963837758,881700.0,0.975588357972831,0.7
ttlmin_extnd,0.1,1.0,0.12903415338386254,58484110.0,0.9267462619232202,4.3
ttlmin_extnd,0.2,1.0,0.07319671420217841,32172390.0,0.9573161743425891,5.2
ttlmin_extnd,0.3,1.0,0.033257371641527964,14314130.0,0.9498697816641201,4.2
ttlmin_extnd,0.5,1.0,0.01375284331746951,6477440.0,0.9126661202526382,3.7
ttlmin_extnd,0.7,1.0,0.009856833894302733,4634900.0,0.9322855987840594,3.6
ttlmin_extnd,1.0,1.0,0.00845301146839686,3839500.0,0.9317725378361859,3.5
adaptive_ttl_lru,0.2,0.5,0.13718499679645904,30664870.0,0.9632349292900511,3.5
adaptive_ttl_lru,0.2,1.0,0.13718499679645904,61329740.0,0.9632349292900511,4.1
adaptive_ttl_lru,0.2,2.0,0.13718499679645904,122659480.0,0.9632349292900511,3.6
adaptive_ttl_lru,0.3,0.5,0.07024288156411139,15465875.0,0.9555294837805217,3.4
adaptive_ttl_lru,0.3,1.0,0.07024288156411139,30931750.0,0.9555294837805217,3.5
adaptive_ttl_lru,0.3,2.0,0.07024288156411139,61863500.0,0.9555294837805217,3.4
adaptive_ttl_lru,0.5,0.5,0.02370550365539412,5212490.0,0.9447147225596545,3.3
adaptive_ttl_lru,0.5,1.0,0.02370550365539412,10424980.0,0.9447147225596545,3.4
adaptive_ttl_lru,0.5,2.0,0.02370550365539412,20849960.0,0.9447147225596545,3.1
adaptive_ttl_only,0.2,0.5,0.00762624609349863,1720180.0,7.838847303247368,3.5
adaptive_ttl_only,0.2,1.0,0.00762624609349863,3440360.0,7.838847303247368,3.4
adaptive_ttl_only,0.2,2.0,0.00762624609349863,6880720.0,7.838847303247368,3.3
adaptive_ttl_only,0.3,0.5,0.00762624609349863,1720180.0,5.225898202164912,3.2
adaptive_ttl_only,0.3,1.0,0.00762624609349863,3440360.0,5.225898202164912,3.5
adaptive_ttl_only,0.3,2.0,0.00762624609349863,6880720.0,5.225898202164912,3.2
adaptive_ttl_only,0.5,0.5,0.00762624609349863,1720180.0,3.1355389212989473,3.3
adaptive_ttl_only,0.5,1.0,0.00762624609349863,3440360.0,3.1355389212989473,3.3
adaptive_ttl_only,0.5,2.0,0.00762624609349863,6880720.0,3.1355389212989473,3.0
dtlm,0.2,0.5,0.17974452810023026,39561745.0,0.9518724677511379,13.3
dtlm,0.2,1.0,0.17974452810023026,79123490.0,0.9518724677511379,13.6
dtlm,0.2,2.0,0.17974452810023026,158246980.0,0.9518724677511379,13.2
dtlm,0.3,0.5,0.05118391122974005,10278245.0,0.9599562014416463,6.6
dtlm,0.3,1.0,0.05118391122974005,20556490.0,0.9599562014416463,6.8
dtlm,0.3,2.0,0.05118391122974005,41112980.0,0.9599562014416463,6.4
dtlm,0.5,0.5,0.017311012067137265,3555650.0,0.9316889699508067,4.7
dtlm,0.5,1.0,0.017311012067137265,7111300.0,0.9316889699508067,4.8
dtlm,0.5,2.0,0.017311012067137265,14222600.0,0.9316889699508067,4.3
fixed_ttl_lru,0.2,0.5,0.13984435547273913,31266595.0,0.9637630519919659,1.2
fixed_ttl_lru,0.2,1.0,0.13984435547273913,62533190.0,0.9637630519919659,1.2
fixed_ttl_lru,0.2,2.0,0.13984435547273913,125066380.0,0.9637630519919659,1.1
fixed_ttl_lru,0.3,0.5,0.07033381176608836,15501225.0,0.9585088217804758,1.0
fixed_ttl_lru,0.3,1.0,0.07033381176608836,31002450.0,0.9585088217804758,1.0
fixed_ttl_lru,0.3,2.0,0.07033381176608836,62004900.0,0.9585088217804758,1.1
